key,times,proportion
innodb_spin_wait_delay,66,0.045454545454545456
innodb_thread_concurrency,66,0.0
max_connections,66,0.9696969696969697
binlog_cache_size,48,0.0
innodb_adaptive_hash_index_parts,65,0.03076923076923077
innodb_log_file_size,60,0.2
back_log,51,0.8431372549019608
binlog_group_commit_sync_delay,45,0.0
binlog_group_commit_sync_no_delay_count,30,0.0
binlog_stmt_cache_size,42,0.0
bulk_insert_buffer_size,47,0.2127659574468085
connect_timeout,10,0.2
eq_range_index_dive_limit,13,0.07692307692307693
innodb_adaptive_max_sleep_delay,37,0.0
innodb_buffer_pool_size,63,0.38095238095238093
innodb_flush_log_at_timeout,26,0.5
innodb_log_buffer_size,38,0.0
innodb_sync_spin_loops,18,0.16666666666666666
innodb_concurrency_tickets,3,0.0
innodb_max_dirty_pages_pct,10,0.6
max_binlog_cache_size,9,0.0
div_precision_increment,4,0.0
ft_query_expansion_limit,5,0.0
host_cache_size,12,0.0
innodb_api_bk_commit_interval,6,0.16666666666666666
group_concat_max_len,34,0.08823529411764706
innodb_ft_cache_size,23,0.0
innodb_ft_total_cache_size,4,0.5
innodb_io_capacity_max,2,1.0
innodb_max_purge_lag_delay,2,0.0
net_buffer_length,4,0.75
innodb_open_files,1,0.0
innodb_ft_num_word_optimize,12,0.0
max_length_for_sort_data,4,0.0
max_points_in_geometry,6,0.8333333333333334
innodb_sort_buffer_size,14,0.0
innodb_log_write_ahead_size,2,1.0
innodb_lru_scan_depth,5,0.4
innodb_adaptive_flushing_lwm,2,0.0
innodb_change_buffer_max_size,3,0.0
innodb_ft_result_cache_limit,1,0.0
innodb_purge_batch_size,1,1.0
innodb_thread_sleep_delay,1,0.0
key_buffer_size,1,0.0
max_error_count,1,0.0
max_heap_table_size,1,0.0
